PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
405,0,135,1411,1900,284,5.4,16.2,0,0,16.3061074,27.3721972,
405,0,270,1490,1650,260,0,0,49,0,38.8864464,54.49158653,58.15347018
405,0,325,1300,1600,254,3.6,10,0,0,34.78093022,47.1601584,
405,125,175,1255,800,245,18,0,20,0,18.2366402,29.48659027,31.00343747
405,135,0,1359,1750,259,0,16,0,0,27.5393429,37.53182885,42.9715917
405,150,150,1132,1750,267,4,0,35,0,38.28430403,55.62998802,
405,150,150,1132,1750,267,10,20,70.5,36,40.12508928,54.22414928,60.69687053
408,0,272,1121,1710,275,8.5,20.4,0,0,33.67745522,45.23307298,
408,0,272,1142,1760,271,8.5,20,0,0,28.49381289,44.5564253,41.80063163
408,0,272,1185,1750,267,4.1,0,6.8,0,25.76128577,43.3410609,44.04410992
408,0,272,1386,1400,296,6.3,20.4,27.2,0,26.93552907,44.68849307,
410,110,0,1460,1650,271,1,15.6,18.2,0,26.54865642,34.58583985,36.95399839
413,137,0,1380,1700,258,3.5,0,35,0,29.23569761,38.78685542,
414,0,174,1085,2100,217,2.9,11.2,0,0,26.65973867,34.4738,
415,103,172,1150,1900,311,0,13.8,0,0,21.4082298,43.95573661,52.49867257
416,0,264,1120,1850,283,5.1,0,81.6,9,26.06835885,42.68806385,43.24894909
416,0,264,1120,1850,284,5.1,20.4,81.6,0,26.72380605,42.28153631,44.41374567
420,0,180,1205,1870,260,3.5,45,0,192,28.4753588,42.6096168,
420,0,180,1228,1870,260,3,45,0,0,29.02263038,37.45865652,
420,0,180,1228,1870,260,4.8,36,0,0,29.00395707,41.23832564,
420,0,180,1235,1870,265,4.8,24,0,0,29.15621635,40.66471992,
420,0,240,1050,2050,235,20,0,78,384,35.3370715,45.31039279,
420,0,240,1050,2050,240,7,0,60,0,36.21127952,49.35499033,
420,0,280,920,2050,267,7,56,35,0,23.097446,48.1426617,
420,0,280,1024,2000,231,16.5,0,84,512,40.4477265,51.62244707,
420,0,280,1062,2000,232,9,24,84,512,40.88041099,54.17125379,
420,0,280,1062,2000,238,16.5,0,84,384,38.7313143,46.6085776,
420,0,280,1062,2000,240,16.5,0,84,512,39.87124795,55.79929268,
420,0,280,1062,2000,259,16.5,0,84,384,33.65956168,44.20716403,
420,0,280,1140,1860,221,11.2,21,77,512,37.92118,44.41180099,
420,0,280,1144,1800,267,7,56,35,0,30.16183898,45.84803254,
420,0,280,1310,1750,260,7,0,100,0,29.25594413,44.71031814,
420,0,280,1310,1750,260,7,39,60,384,28.4236481,43.31058407,
420,0,280,1375,773,278,3,0,32,0,20.7877014,33.22125193,
420,0,280,1375,850,260,3,0,32,0,31.0781307,43.8161998,
420,0,280,1375,850,279,8,0,32,0,28.4753588,41.8511932,42.8509334
420,0,280,1400,1600,290,0,0,85,0,41.4030338,62.71933347,
420,0,280,1488,1500,231,10,14,98,384,32.07681017,46.85931704,
420,140,190,1060,1800,300,10.8,0,35,0,39.51308408,52.40920485,
420,180,0,1190,1874,288,8,0,29,0,36.53730317,47.5393702,53.47378863
420,180,0,1190,1900,240,3.5,0,36,0,34.88231453,45.03102182,51.8172152
420,180,0,1190,1901,229,6,0,29,0,36.50430682,47.21704017,54.94089506
420,180,0,1190,1920,240,2.7,12.6,27,0,30.14389072,41.540929,
420,180,0,1190,1920,240,5,12,27,0,31.3022104,43.41400547,
420,180,0,1190,1950,228,8,0,29,0,35.1977498,49.13255224,53.94164734
420,180,0,1370,1900,240,0,0,0,0,33.02015477,42.21891373,48.6770056
423,0,280,1350,1700,268,0,0,49.2,0,42.31228028,53.06666947,56.92116863
423,0,282,1210,1660,271,7.1,21.2,0,0,30.6127344,44.56313213,
423,0,282,1300,800,283,4,0,56.4,0,34.96383517,49.1947111,
423,0,285,1225,1750,283,0.6,0,32.7,0,34.84861868,46.29285505,48.00415814
423,0,285,1225,1750,283,4.4,0,25,0,31.18401451,41.15022593,
423,0,285,1225,1750,283,6,0,25,0,29.38822502,44.08509544,
423,141,0,1346,1725,255,2.8,16.8,0,0,24.9590312,34.7495904,36.7835446
425,140,0,1523,1650,242,10,0,45,0,23.6490268,32.83875691,
426,0,284,1335,1500,258,3.5,0,6.6,0,30.1990488,45.75822387,
426,0,284,1335,1500,292,5,0,6.6,0,28.613254,39.5069748,
426,0,284,1360,1500,267,5,0,27.4,0,31.11451971,43.75989259,
426,0,284,1360,1500,315,2.4,0,27.4,0,30.9738885,43.67994621,
427,183,0,1250,1710,255,2,0,30,0,32.63882615,42.53502437,
