PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
291,11,86,470,50,1171,1616,257,0,0,126,0,0,0,27,2,5,847,0.303423849,0.303911015,0.656434475,0.579834948,0.420165052,464.534623,74.88463474,90.68907653,100.4570952
291,11,86,470,50,1225,1752,233,0,0,126,0,0,0,25,2,5,847,0.275088548,0.284514612,0.656434475,0.588511925,0.411488075,464.988005,76.27823563,78.37372189,78.72381886
297,6,153,450,0,1284,1601,246,0,0,58.5,0,0,0,9,0,5,900,0.273333333,0.311958406,0.67,0.554939341,0.445060659,487.893647,65.07121271,66.6206185,82.71590535
297,6,153,450,0,1373,1601,246,0,27,58.5,0,0,0,9,2,5,900,0.273333333,0.30262273,0.67,0.538332213,0.461667787,488.211644,70.41848213,102.8468367,108.937208
297,11,153,450,0,1373,1601,246,0,27,58.5,0,0,0,9,2,5,900,0.273333333,0.30262273,0.67,0.538332213,0.461667787,488.211644,54.28286761,77.23960422,84.26399594
300,1,0,200,0,1424,1710,250,6.3,0,0,0,0,0,3,6,6,500,0.5,0.159540523,0.4,0.54562859,0.45437141,375.562602,,35.55188975,
300,1,0,200,0,1424,1710,250,6.3,15,0,0,0,0,3,5.5,6,500,0.5,0.159540523,0.4,0.54562859,0.45437141,375.562602,16.01882573,30.79659467,
300,2,0,200,0,1424,1710,250,6.3,15,0,0,0,0,3,6,6,500,0.5,0.159540523,0.4,0.54562859,0.45437141,375.562602,27.7858828,34.58411616,
300,2,0,300,0,1300,1700,270,1.5,0,20,0,0,0,7,5.5,5,600,0.45,0.2,0.5,0.566666667,0.433333333,401.5004,25.85535,46.28682213,54.71375102
300,2,0,450,0,1038,1750,279,7,0,30,0,0,0,6.5,7,4,750,0.372,0.269010043,0.6,0.6276901,0.3723099,440.260024,47.89559947,55.80159093,62.1217876
300,2,65,483,25,1370,1646,220,0,30,65,0,0,0,27,2,6,848,0.259433962,0.281167109,0.646226415,0.545755968,0.454244032,471.2791,77.7964244,106.0790746,111.0426244
300,2,70,485,70,1220,1756,222,0,0,161,0,0,0,27,2,6,855,0.259649123,0.287298387,0.649122807,0.590053763,0.409946237,473.1218,81.46189448,98.33293703,101.9937791
300,2,125,371,0,1328,1625,230,0,15,50,0,0,0,26,2,6,796,0.288944724,0.269556383,0.623115578,0.550287843,0.449712157,461.200819,57.50069497,90.92379978,97.80843856
300,2,129,367,24,1338,1633,222,0,12,43,0,0,0,10,1.7,5,796,0.278894472,0.267923258,0.623115578,0.549646584,0.450353416,461.507869,69.36810019,101.9864866,107.8115883
300,6,0,450,0,1038,1750,280,2,0,35,0,0,0,8,6,4,750,0.373333333,0.269010043,0.6,0.6276901,0.3723099,440.260024,,41.6443504,
300,6,0,450,0,1112,1700,280,8,0,55,0,0,0,24,6,4,750,0.373333333,0.266714083,0.6,0.60455192,0.39544808,440.428676,42.23615063,60.18742438,67.6720694
300,6,0,450,0,1121,1700,280,8,0,55,0,0,0,24,6,4,750,0.373333333,0.265863169,0.6,0.602623183,0.397376817,440.460833,65.3450879,86.27643013,
300,6,0,450,0,1121,1700,284,5,0,25,0,0,0,24,7.5,6,750,0.378666667,0.265863169,0.6,0.602623183,0.397376817,440.460833,50.04028769,72.03979539,
300,6,0,450,0,1147,1700,283,8,0,75,0,0,0,24,5.5,4,750,0.377333333,0.263435195,0.6,0.597119775,0.402880225,440.553731,35.1977498,57.27247307,
300,6,0,450,0,1245,1600,284,8,25,75,0,0,0,24,6,6,750,0.378666667,0.263620387,0.6,0.562390158,0.437609842,440.712385,57.56894775,72.71208731,
300,6,0,450,0,1481,1500,276,0,0,0,0,0,0,0,0,4,750,0.368,0.251593425,0.6,0.50318685,0.49681315,441.364113,40.1102663,62.5354732,
